Word_jian,Valence_Mean,Arousal_Mean,V_pred,A_pred
哭诉,2.8,6.8,2.72399079296,6.79046118767
利润,6.6,5.4,4.95692835872,5.27085698521
感伤,3.8,5.4,3.78723931289,5.65918630688
杂乱,3.6,5.6,3.67519552829,4.46287484065
瘸,3.4,3.6,3.04496820511,5.9650413374
壮丽,7.0,6.4,6.68505099768,5.65536553185
受害,1.8,7.8,2.66917840708,6.6644145619
灵感,6.2,4.2,6.94781168647,5.7418713976
眼泪,3.4,5.8,5.07131999768,6.12402841542
违背,3.0,4.8,2.84427714902,6.6556790892
纷争,3.0,6.6,3.35746592185,6.55815090269
错误,3.2,5.6,3.3856536525,5.040293625
哇,6.0,6.6,6.67610715081,6.04411017818
发愁,3.0,6.2,3.26693060829,4.97771374012
过分,2.8,6.8,3.22697867961,4.75765931562
强壮,6.8,5.4,5.02297117204,4.27425517255
悲哀,2.6,4.6,2.98375976679,5.55035879365
好,6.8,5.2,6.37269448748,6.51112219062
凯旋,7.2,7.0,7.1566182447,6.59153409527
僵住,3.8,3.6,4.325,6.125
担心,3.4,6.6,2.87418940738,6.00903411445
乐观,7.0,5.0,5.01242268409,4.81871164557
元凶,2.2,6.4,2.4719756924,7.17193035632
惊慌,3.2,7.6,2.89864818214,5.48405985439
赢钱,6.6,6.2,3.03067136421,6.15032185635
泪流满面,2.0,7.8,3.59979757132,6.82960504891
卑鄙,1.8,8.2,2.72037417669,6.25708523278
心神不宁,3.2,6.8,3.29528845485,4.92463928551
信奉,6.6,5.2,4.66636489749,6.19670205655
坦白,6.0,5.6,4.04311702121,5.34118693195
光亮,5.8,4.6,4.9915605761,3.83742861242
弱,3.8,4.6,4.56254167316,4.67562396746
敌对,2.8,7.0,2.70735028018,7.42669839987
酸甜苦辣,4.8,5.2,3.73973966834,6.20980722911
嘲笑,2.6,6.6,3.17039178942,6.3197501314
危,3.2,6.6,2.86566299754,6.51560234559
窒息,2.2,4.8,3.0455197044,5.40906815679
善意,6.8,5.0,3.73858782386,6.03081380346
珍奇,6.8,5.8,5.89590810256,5.66977416008
暴力,2.2,7.8,2.35265995656,7.32914513455
僵硬,3.4,5.4,3.45477826266,4.79729215212
和睦,6.6,4.2,6.17570883881,5.12081368178
贱货,1.8,8.2,2.76828356882,6.81465393714
指责,3.4,6.8,2.72068885178,6.8749132585
猛烈,4.6,8.4,3.93054166604,7.15207905195
贫病,2.8,4.6,3.1196379502,5.90489049776
受伤,2.8,5.4,2.70901704606,5.98307645542
高雅,7.0,4.0,6.74837267389,5.13944020472
矛盾,4.2,4.6,3.34355538295,6.05912334029
有效,6.6,5.0,6.21239476293,4.65401130439
怒骂,1.8,8.8,2.62937543065,7.05714063745
恶心,2.2,6.8,3.10111824154,5.34283993084
虐待,2.2,7.4,2.34777709515,7.30959293413
责备,3.4,6.4,2.61722500845,7.0339032359
恐吓,2.4,7.4,2.8266173748,6.87161305089
容光焕发,7.2,5.0,2.8478326668,5.97212279421
费力,3.4,6.2,3.2436090364,4.74719528192
死人,2.2,7.0,2.42607182172,7.0060128222
和谐,7.2,3.4,6.84193378388,3.87866266729
才能,6.6,4.6,5.70353607805,5.01659420856
体贴,7.0,5.6,6.11141249762,4.25021006774
卑劣,2.0,8.0,3.12653040943,5.9417497814
毁弃,2.8,6.6,2.76025592184,6.63173426859
生动,6.4,5.8,6.58108774739,5.35435165183
输,3.0,4.4,3.95518574652,5.78747916776
欢聚,7.2,6.2,7.04376039058,6.05357092591
债务,3.0,5.2,2.92131756121,6.11351182956
振奋,7.2,7.0,6.02455959893,5.7942922827
郁,3.0,4.8,4.16189890682,4.52516307881
极端,4.4,7.0,2.83124309317,6.5640774153
结巴,4.0,4.6,3.0283608143,6.7327182326
慈善,7.0,4.6,6.78793011256,5.14666262464
胆怯,3.2,5.2,3.41727309204,4.67415040339
怕羞,4.2,5.4,4.16986646518,5.30417828947
款待,6.2,5.4,6.97648703645,5.84318357313
胁迫,2.6,7.2,2.45257651287,7.42855517213
哭闹,2.8,7.4,2.99687162176,6.34458597265
妨碍,3.2,5.8,3.01472509118,6.14368808993
创伤,2.8,6.2,3.10629050406,5.40659540004
孤,3.4,4.6,3.29642135789,5.26048776602
孝顺,7.4,5.4,7.07551084759,4.96427148292
操,2.0,8.0,3.53509005617,6.50682300534
哀恸,1.8,7.6,2.63976301402,6.65896811277
驳斥,2.8,7.2,3.19291641832,6.58532358301
仁爱,7.8,5.2,7.12589485388,4.70249908788
折磨,2.4,7.0,2.44671024379,7.30160000356
烦愁,2.8,6.8,4.325,6.125
风险,3.8,6.4,3.26574599396,5.80778623042
优良,7.6,6.2,6.76214108386,5.45255825886
兴致,6.2,6.0,3.07290648901,5.04062864359
患病,2.8,4.8,3.1298999398,4.67534734092
不贞,2.8,6.8,2.43230764064,7.25381631064
福气,7.0,4.4,6.52741641786,5.78571016594
不满,3.2,6.4,3.05759171998,6.29333398039
惊叹,5.4,7.6,6.60705931607,6.95040230985
忧愁,2.8,5.4,2.80347130671,6.20371623803
小心,4.6,6.0,4.41456223732,5.29558089245
怒吼,2.0,8.8,2.37248618848,7.84420227567
同意,6.4,4.4,5.39344864114,5.65327067682
庆功,7.0,7.2,6.88317180159,6.54723028284
整齐,6.6,4.2,6.22286779529,4.3525353352
镇定,5.4,2.8,4.42683395475,3.98119604183
冷淡,3.0,3.6,3.32315090938,4.96652177897
尊荣,7.6,5.2,6.74621879666,5.75742420664
惊怕,3.6,7.0,2.93131922131,6.10048448672
违约,2.8,5.6,2.72838173277,6.47492014004
艰涩,3.2,7.2,5.07053423274,5.3213170956
威胁,3.0,7.4,3.30272850371,6.50142347522
闷,3.8,4.0,3.34769737202,4.49171330692
决心,6.4,6.6,6.05885597634,6.12607047201
强奸,1.4,8.4,2.46971113389,6.83595699354
信义,7.0,5.4,7.22599016235,5.0689292476
放心,6.2,3.2,3.41095302183,5.36465716509
引人注目,5.8,6.4,5.07910113264,6.02531685953
顾虑,4.2,4.6,3.32086282231,5.52296936994
痛哭流涕,1.8,8.0,2.68681929375,6.82995453011
奉献,6.8,6.0,6.72535675995,5.32344840931
抑制,4.8,5.4,3.83748118975,5.25513658596
胡扯,3.0,7.6,2.8150581709,6.75422628749
花招,4.0,4.8,3.61761750688,5.92054102
严厉,3.8,7.4,2.91140581046,7.31739834508
侵扰,3.0,6.8,3.06064337589,6.53688112384
奖励,7.0,5.2,7.08816745565,5.36713384444
腐败,2.4,5.6,2.48604577529,6.78975924505
无精打采,3.6,3.4,2.55775589663,6.56985823123
哀伤,2.4,5.4,3.83674466842,6.17512214624
神圣,7.2,5.0,5.03962377964,6.78929232023
输家,3.0,5.0,5.1270073482,5.62308048481
帅气,7.0,6.0,5.89020927635,4.49412293154
谴责,3.0,7.2,2.80127241457,7.37471724784
迷乱,3.2,6.2,2.40977336687,7.37293406414
脾气,4.8,4.4,3.29893060604,5.90378450183
诡计,3.4,5.2,2.4156535511,7.49087512867
瞧不起,3.2,6.2,3.90619147376,6.4328562097
好运,6.6,5.2,7.17866461163,6.6516461279
冲击,3.2,7.2,2.99303963593,6.5208265993
批评,3.2,7.6,4.17547342508,6.92861522029
痛,3.0,6.2,3.04395531438,5.20828426373
